============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.15-s080_1
  Generated on:           Feb 23 2025  03:04:04 am
  Module:                 picorv32
  Technology libraries:   slow_vdd1v0 1.0
                          physical_cells 
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                 
   Gate     Instances    Area        Library    
------------------------------------------------
ACHCONX2            7     88.578    slow_vdd1v0 
ADDFHX1           178   1339.272    slow_vdd1v0 
ADDFHX2            46    377.568    slow_vdd1v0 
ADDFHXL             8     60.192    slow_vdd1v0 
ADDFX1            120    615.600    slow_vdd1v0 
ADDHX1            102    383.724    slow_vdd1v0 
ADDHX2              1      5.130    slow_vdd1v0 
ADDHX4              1      7.182    slow_vdd1v0 
AND2X1            402    549.936    slow_vdd1v0 
AND2X2              9     15.390    slow_vdd1v0 
AND2X4             28     76.608    slow_vdd1v0 
AND2X6             48    180.576    slow_vdd1v0 
AND2X8             13     57.798    slow_vdd1v0 
AND3X1              1      2.394    slow_vdd1v0 
AND3X2              4     10.944    slow_vdd1v0 
AND3X4              2      6.156    slow_vdd1v0 
AND3X6              5     22.230    slow_vdd1v0 
AND3X8              4     20.520    slow_vdd1v0 
AND3XL             21     43.092    slow_vdd1v0 
AND4X1              8     19.152    slow_vdd1v0 
AND4XL              9     21.546    slow_vdd1v0 
AO21X1             48    114.912    slow_vdd1v0 
AO21X2              2      5.472    slow_vdd1v0 
AO21X4             58    198.360    slow_vdd1v0 
AO22X1            379   1036.944    slow_vdd1v0 
AO22X4              3     11.286    slow_vdd1v0 
AOI211X1           16     38.304    slow_vdd1v0 
AOI211X2            5     17.100    slow_vdd1v0 
AOI211X4            6     38.988    slow_vdd1v0 
AOI211XL            1      2.052    slow_vdd1v0 
AOI21X1            95    162.450    slow_vdd1v0 
AOI21X2            53    145.008    slow_vdd1v0 
AOI21X4            93    477.090    slow_vdd1v0 
AOI21XL             9     15.390    slow_vdd1v0 
AOI221X1          189    452.466    slow_vdd1v0 
AOI221X2           90    400.140    slow_vdd1v0 
AOI221X4           12     94.392    slow_vdd1v0 
AOI222X1          211    649.458    slow_vdd1v0 
AOI222X2           33    180.576    slow_vdd1v0 
AOI222X4            3     28.728    slow_vdd1v0 
