============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.15-s080_1
  Generated on:           Feb 23 2025  11:29:53 pm
  Module:                 picorv32
  Operating conditions:   PVT_0P9V_125C 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                 
   Gate     Instances    Area        Library    
------------------------------------------------
ADDFX1            497   2549.610    slow_vdd1v0 
ADDHX1            146    549.252    slow_vdd1v0 
AND2X1            326    445.968    slow_vdd1v0 
AND2X2              7     11.970    slow_vdd1v0 
AND2X4             70    191.520    slow_vdd1v0 
AND2X6              4     15.048    slow_vdd1v0 
AND2X8              1      4.446    slow_vdd1v0 
AND3X1              4      9.576    slow_vdd1v0 
AND3X2              1      2.736    slow_vdd1v0 
AND3X4              4     12.312    slow_vdd1v0 
AND3X8              1      5.130    slow_vdd1v0 
AND3XL             12     24.624    slow_vdd1v0 
AND4X1              5     11.970    slow_vdd1v0 
AND4X4              3     11.286    slow_vdd1v0 
AND4XL             17     40.698    slow_vdd1v0 
AO21X1             69    165.186    slow_vdd1v0 
AO21X2              1      2.736    slow_vdd1v0 
AO21X4             10     34.200    slow_vdd1v0 
AO21XL             12     28.728    slow_vdd1v0 
AO22X1            351    960.336    slow_vdd1v0 
AO22X2              1      3.078    slow_vdd1v0 
AO22X4              1      3.762    slow_vdd1v0 
AO22XL              2      5.472    slow_vdd1v0 
AOI211X1           18     43.092    slow_vdd1v0 
AOI21X1           108    184.680    slow_vdd1v0 
AOI21X2            17     46.512    slow_vdd1v0 
AOI21X4            10     51.300    slow_vdd1v0 
AOI221X1          284    679.896    slow_vdd1v0 
AOI221X2           12     53.352    slow_vdd1v0 
AOI221X4            2     15.732    slow_vdd1v0 
AOI222X1          351   1080.378    slow_vdd1v0 
AOI222X2           25    136.800    slow_vdd1v0 
AOI22X1           430    882.360    slow_vdd1v0 
AOI22X2             3     11.286    slow_vdd1v0 
AOI2BB1X1          43     88.236    slow_vdd1v0 
AOI2BB1X2          17     52.326    slow_vdd1v0 
AOI2BB1X4           6     24.624    slow_vdd1v0 
AOI2BB2X1           2      6.840    slow_vdd1v0 
AOI2BB2X2           1      5.130    slow_vdd1v0 
AOI31X1            34     69.768    slow_vdd1v0 
AOI31X2             1      3.420    slow_vdd1v0 
AOI32X2             1      4.446    slow_vdd1v0 
BUFX12              1      5.130    slow_vdd1v0 
BUFX16              1      6.840    slow_vdd1v0 
BUFX2              61    104.310    slow_vdd1v0 
BUFX3               3      6.156    slow_vdd1v0 
BUFX6               3      9.234    slow_vdd1v0 
BUFX8               1      3.762    slow_vdd1v0 
CLKAND2X12          3     22.572    slow_vdd1v0 
CLKAND2X2           6     12.312    slow_vdd1v0 
CLKAND2X3           4     12.312    slow_vdd1v0 
CLKAND2X6           1      4.788    slow_vdd1v0 
CLKBUFX20         234   1920.672    slow_vdd1v0 
CLKINVX12           5     20.520    slow_vdd1v0 
CLKINVX20           2     12.996    slow_vdd1v0 
CLKINVX4           38     64.980    slow_vdd1v0 
CLKINVX6            9     21.546    slow_vdd1v0 
CLKINVX8            8     24.624    slow_vdd1v0 
CLKMX2X4            1      4.104    slow_vdd1v0 
CLKXOR2X1         116    317.376    slow_vdd1v0 
INVX1             441    301.644    slow_vdd1v0 
INVX2              38     38.988    slow_vdd1v0 
INVX3              21     28.728    slow_vdd1v0 
INVX6               8     19.152    slow_vdd1v0 
INVXL               4      2.736    slow_vdd1v0 
MX2X1            1263   3023.622    slow_vdd1v0 
MX3XL               1      4.788    slow_vdd1v0 
MXI2X1              8     21.888    slow_vdd1v0 
MXI2X2              1      4.446    slow_vdd1v0 
MXI2X4              1      5.130    slow_vdd1v0 
MXI2XL            127    304.038    slow_vdd1v0 
NAND2BX1          212    290.016    slow_vdd1v0 
